Headline,News,sentiment
Middle East Oil Giants Grapple With Cyberattacks.html,"As the global oil and gas markets are recovering from the steep sell-off last Monday, threats in the market are not just linked to demand-supply concerns. Cybersecurity specialists reported this week that hackers managed to get access to a large amount of data from Saudi oil giant Aramco. The company has confirmed that around 1TB of (confidential) data was stolen from its servers. According to AP sources, the data has been put on offer on the darknet for a price of $50 million. It is at present still unknown who is behind the data theft, but some are also worried about the fact that no additional information is being given by the parties involved. The world’s largest listed oil company Aramco has been targeted by cyberattacks on a regular basis, such as the well-known Iran-instigated Shamoon virus attacks. This most recent attack on Aramco, shows that there remains a lot of work to be done to protect the oil giant against future data breaches, ransomware attacks, and industrial espionage. The Aramco data breach shows again the threat to energy supply comes not just from drone and missile attacks, but also from cyberattacks. Since the Shamoon attack, which brought a large part of the Saudi giant to a standstill, major cybersecurity programs have been proposed and implemented by the Saudis. However, even a trillion-dollar company seems to be unable to fully protect its digital infrastructure.  For financial stakeholders, the current situation is of course of interest. Saudi Aramco is implementing a major company restructuring strategy, focusing on mid-and downstream assets. The 1TB data breach is linked according to sources especially to downstream assets and operations. Potential pressure from this ‘third party contractor breach” on divestments or privatization plans, such as the Aramco pipeline project, should be not dismissed straight away. If the available data is much more in detail, especially on price settings or financial strategies, the damage could be much larger than currently presented in the press.  Related: Is The Fear Of Nuclear Energy Justified? Sources are stating that “Zero-day exploitation"" has been used to get access to servers. The data is now being offered by a threat actor group known as ZeroX . In statements made by ZeroX, the 1TB of data has been stolen in 2020 by hacking Aramco's ""network and its servers"". The total data includes files from 1993 to 2020. On the darknet and other sites on the internet, ZeroX has posted samples of Aramco's blueprints and proprietary documents. The first data was already posted on a data breach marketplace forum in June this year:
  The total data set, based on the initial posting on the so-called .onion leak site had a countdown timer set to 662 hours, or about 28 days, after which the sale and negotiations would begin. While it’s not exactly clear why the hackers went with a 662 hour deadline, but ZeroX reportedly has said that the choice of ""662 hours,"" was intentional and a ""puzzle"" for Saudi Aramco to solve, but the exact reason behind the choice remains unclear. In an info piece, ZeroX has also stated that the 1TB dump includes documents linked to Saudi Aramco's refineries located in multiple Saudi Arabian cities, including Yanbu, Jazan, Jeddah, Ras Tanura, Riyadh, and Dhahran. Some other info shows that it includes: BleepingComputer reports that samples released by ZeroX on the leak site have personally identifiable information (PII) redacted, and a 1 GB sample alone costs US$2,000, paid through the cryptocurrency Monero (XMR). ZeroX also has stated that the price of the entire 1 TB dump is set at US$5 million if a party wants the exclusive rights for a one-off sale (i.e. obtain the complete 1 TB dump and demand it be wiped completely from ZeroX's end) it needs to pay a whopping US$50 million.  Related: Oil Prices Recover After Manic Monday
 All parties, including ZeroX and Aramco, have reiterated that the incident is not a ransomware attack. Aramco has repeated that the breach happened at third-party contractors and that Aramco’s systems were not directly involved. A company spokesman repeated that the company continues to maintain a robust cybersecurity posture. Looking at the 2012 Shamoon attack, which destroyed 30,000 computer hard drives of Aramco, the current breach is less dangerous. Still, when looking at recent global ransomware and other cyber-related attacks, such as the Colonial Pipeline or European supermarkets, the threat to Aramco, and possibly other Arab national oil companies is real.  Some also have stated that the ZeroX attack is a first of maybe a list of upcoming cyber attacks on Aramco. Even though the current data breach was executed through third-party contractors, it shows that hackers managed to find loopholes in the cybersecurity systems of oil and gas companies.  Analysts will be scratching their heads in the coming months on how to deal with and prevent these data breaches or Shamoon 2.0 ransomware attacks. The current digitalization of oil and gas, including upstream, down- and midstream operations is not only a positive development. The huge amount of sensors, datapoints, information-gathering operations, and real-time monitoring, in principle to lower costs and increase profit margins, has become a weak spot for companies. As cyber warfare strategies of global and regional powers are advancing, attacks could become a lot more sophisticated and the oil and gas industry is expected to remain a key target. Additionally, one should take statements about cybersecurity by government or company officials in the Middle East with a pinch of salt. No company or government official will ever show the back of his tongue when asked to comment. If the 2012 Shamoon case is a baseline for assessments and the discrepancies between official statements and reality, the current situation could be much worse than expected. ",Negative
Deadly Typhoon Threatens Strategic Chinese Oil Hub.html,"The In-fa typhoon, which caused devastating flooding in parts of China this week—claiming at least 33 lives—is expected to make landfall this weekend in a key area hosting some of the largest Chinese refineries and oil storage tanks. In-fa caused torrential rains and floods in the Chinese province of Henan earlier this week. Subway cars were flooded in flash floods in the capital city of the province, Zhengzhou. Twelve people were killed in a flooded subway line after being trapped for hours. Thousands of people in Henan, one of the most populous provinces in China, have been displaced. The In-fa typhoon is now expected to make landfall in the province of Zhejiang during the weekend, a coastal province home to some of China’s newest and largest oil refineries and numerous bunkering docks.
 Earlier this week, Zhoushan, the island in the Zhejiang province, halted bunker operations ahead of the expected landfall of the In-fa typhoon on Sunday, Argus reported. Apart from major ship-refueling operations, the Zhejiang province is also home to Zhejiang Petroleum & Chemical’s newest oil complex in Zhoushan. The Zhenhai refinery owned by Sinopec is also close to the path of the typhoon. 
 On Friday, China activated its second-highest alert due to the In-fa typhoon, issuing an orange alert for the storm now expected to make landfall between Sunday afternoon and Monday morning in the province of Zhejiang. According to some weather forecasts, In-fa could cause catastrophic flooding in China on Sunday, including in one of the largest cities and financial centers in China, Shanghai. Before landing in China, the typhoon is expected to bring inclement weather to some islands in Japan. In-fa is the first major typhoon to hit the eastern parts of China this year during the peak typhoon season from July to September. ",Negative
China Could See Slowest Oil Import Growth In Two Decades.html,"High oil prices and China’s crackdown on the use of oil import quotas could result in the lowest crude oil import growth at the world’s top oil importer since 2001, analysts tell Reuters. Analysts—including Rystad Energy, Energy Aspects, and Independent Commodity Intelligence Services (ICIS)—estimate that the recent clampdown on the import and tax practices of independent refiners, as well as the significantly higher oil prices this year, could result in flat or slightly rising crude oil imports in China in 2021. Oil imports could grow by up to 2 percent in 2021 compared to 2020, which would be the lowest growth rate in two decades and much lower than the 9.7-percent average import growth rate since 2015, according to Reuters. In a bid to reduce refining overcapacity, China stepped up earlier this year pressure on independent refiners to uproot illegal tax practices and check if outdated facilities have been closed as required. The authorities are checking to see whether the private refiners are complying with all laws and regulations when importing and later reporting and booking processing rates and taxes. The Rise of the Teapots
 A broad clampdown on private Chinese refiners could impact the crude import rates of the world’s top oil importer, considering that the independents have grown to account for around one-fifth of China’s crude oil imports.  Those teapots were first allowed to purchase oil from abroad in 2015. Imports Already Down YoY
 China’s crude oil imports fell to some 9.77 million barrels per day (bpd) in June 2021. They were down 2 percent in May, which was the lowest monthly level since the start of the year, according to customs data cited by Reuters. Over the first half of the year, China imported 260.66 million tons of crude—or 10.51 million bpd per Reuters estimates. This was a 3 percent drop compared to the first half of 2020.  The Record Breakers Meanwhile, Chinese refiners processed a record amount of crude oil in June, at 14.8 million bpd, up by 3.9 percent from May when run rates also broke records, statistics data showed. The average daily run rates for the first half of the year were even higher, at 15.13 million barrels—up by 10.7 percent from a year earlier, the data also showed.",Negative
US Shale Sees Light At The End Of The Tunnel.html,"The U.S. oil and gas sector is recovering from last year’s market slump. But unlike the previous boom-and-bust cycles, the industry has held off on boosting production and has focused on strengthening balance sheets, repaying loans, and rewarding shareholders. As a result of the rallying commodity prices this year, and most of all, the discipline in capital spending, the U.S. shale patch is now financially stronger. Bankruptcies have been fewer and far apart in recent months, and the energy loan default rate has dropped to the lowest level since the oil market crashed in March and April last year. In addition, low interest rates have prompted many U.S. oil and gas firms to raise new debt, most of which goes to repaying existing liabilities, not to drilling more wells. U.S. Energy Defaults Drop Significantly One indicator shows that the credit quality of the loans and bonds in the U.S. oil and gas sector has significantly improved in recent months. The energy sector’s trailing twelve-month (TTM) default rate stood at 9.1 percent in July, Fitch Ratings said in a report on Wednesday. The energy default rate has fallen below the double-digit percentage for the first time since April 2020. The default rate is also considerably down from the 20.3-percent peak in March, Fitch Ratings noted.  Related: The Best 2 Stocks To Hold As Oil Prices Explode Smaller defaults and higher oil prices are set to further push the energy default rate down to 5 percent by the end of this year, the rating agency says. This year will see smaller defaults compared with as many as four defaults of $1.5 billion-plus size issuers in 2020, according to Fitch Ratings.  To compare, at this time last year, Fitch Ratings was estimating the energy default rate to finish the year 2020 at 18 percent. In the second quarter of 2020 alone, energy generated $5 billion of defaults. This year, Fitch Ratings does not expect “many bankruptcies coming in the next few months. Only 2% of our Top Market Concern Loans relates to energy,” Eric Rosenthal, Senior Director of Leveraged Finance at Fitch Ratings, told Forbes’ Senior Contributor Mayra Rodriguez Valladares. Defaults on bonds have also significantly dropped this year, according to Fitch Ratings.
 “Energy makes up only 10% of our Top Market Concern Bonds list, down from 57% as of one year ago. There has been only $3.2 billion of YTD high yield energy defaults compared with $14.4 billion for the same period in 2020,” Rosenthal told Rodriguez Valladares.  Energy Bankruptcies Slow Down This year, the default rate is considerably down, as companies with unsustainable liabilities have already filed for bankruptcy over the past year, while the others are using record cash flows to pay down debts. The number of North American producers that filed for bankruptcy protection in the first quarter of 2021 reached the highest number for a first-quarter since 2016, yet the wave of bankruptcies has significantly slowed since the peaks in the second and third quarter of 2020, law firm Haynes and Boone said in its latest tally to March 31. Even though the number of first-quarter 2021 bankruptcies was the highest for a Q1 since 2016, it showed the trend of slowing filings after 18 oil and gas producers filed in the second quarter of 2020 and another 17 in the third quarter, the two quarters in which the oil price crash and the crisis were most severely felt by indebted producers.  The U.S. Shale Patch Is Borrowing Again U.S. oil and gas firms are taking advantage of the high oil prices and historically low-interest rates to seek financing. Higher oil prices and low-interest rates have prompted listed independent U.S. oil producers to raise in March the most financing via debt and equity issues since August last year, the EIA said in April. This time around, the borrowed money is being used for repayment of previously drawn credit facilities or bonds, not for relentless drilling of new wells and chasing record production growth.  “Since crude oil prices began increasing, U.S. crude oil producers have been raising debt and equity to refinance debts, resume drilling activities, or purchase acreage,” the EIA said.
 Low corporate bond yields have also contributed to lower interest rates on new bonds and reduce the cost of issuing debt, the EIA noted. Historically low interest rates give additional incentives to U.S. shale drillers to raise new debt and refinance existing liabilities. Currently, it’s as cheap for the U.S. energy sector to raise new debt as it was seven years ago, when oil was $100 per barrel, according to Bloomberg Intelligence. How Long Will Discipline Hold? So far this year, U.S. oil and gas firms have been sticking with promises of capital discipline and prefer to show investors the money to drilling themselves “into oblivion,” as Harold Hamm warned back in 2017.  Related: Everything You Need To Know About OPEC’s New Agreement Higher oil prices and expected record cash flows could heal the balance sheets of many shale producers this year. Even if U.S. shale wanted to significantly raise production in response to $70 oil, it would take at least nine months to see a meaningful jump in output, Rystad Energy said in an analysis earlier this month.   One executive at an E&P firm may have summed up this year’s motto of the U.S. shale patch in the following comment in the Dallas Fed Energy Survey Q2 published at the end of June: “Don’t take the bait, drillers: Stay capital disciplined and enjoy the higher prices for your product.”   ",Positive
China Taps Into Crude Reserves To Curb Oil Price Rally.html,"The world’s top oil importer, China, has started to release more than 20 million barrels of crude oil from its strategic reserve in a move seen as seeking to curb the recent oil price rally, Energy Intelligence reported this week, quoting trading sources. The reported release from the strategic petroleum reserve is also aimed at putting inflation under control. Various market and trade sources told Energy Intelligence that China was about to release the equivalent of between 22 million barrels and over 29 million barrels, or between 3 million and 4 million tons.
 Sources with knowledge of China’s plans also told Bloomberg that the government had supplied to refiners earlier this month 22 million barrels of crude oil. The crude from the strategic reserve being supplied to Chinese refiners would displace part of the crude oil imports of the world’s top oil importer. China’s crude oil imports began to cool off as prices rallied. Now, its crude released from the strategic reserve could weaken Chinese imports further.
 China’s crude oil imports fell to around 9.77 million bpd in June, down by 2 percent on May and the lowest monthly level since the start of the year, customs data cited by Reuters showed last week. Over the first half of the year, China imported 260.66 million tons of crude, or 10.51 million bpd per Reuters estimates. This was a 3 percent drop compared to the first half of 2020. The first-half figure was boosted by increased imports by independent refiners. Since the first quarter, however, Beijing has begun cracking down on the teapots, as production of fuels both at independent refiners and state-owned majors was rising faster than demand, undermining refining margins and creating a glut.     ",Negative
Saudi Arabia Wants To Pump Every Last Molecule Of Oil.html,"After two weeks of impasse, the recent OPEC+ agreement has put Saudi Energy Minister Prince Abdulaziz bin Salman in the spotlight again for the power he yields on the global oil market. Abdulaziz bin Salman, like the other oilmen in Saudi Arabia, still believes that it will be the Kingdom that will pump the last barrel of oil, and it will be the Kingdom that will benefit from shrinking investments in oil and gas globally as international oil majors and governments continue to pledge net-zero emissions by 2050.   Saudi Arabia’s energy minister, one of the most influential – if not the most influential – figures in the oil market, believes that the Saudis will pump every last drop of oil. “We are still going to be the last man standing, and every molecule of hydrocarbon will come out,” Abdulaziz bin Salman said at a private event, a source familiar with the meeting told Bloomberg News’ Javier Blas.
 The energy minister is not the only top official to express the belief that Saudi Arabia will have a future in oil despite the net-zero and peak oil demand narratives. Before net-zero emissions became the latest fad in oil markets, Amin Nasser, president and chief executive officer of Saudi oil giant Saudi Aramco, said in January 2019 that Saudi Arabia would pump the last barrel of oil.  “There will continue to be growth in oil demand … We are the lowest cost producer and the last barrel will come from the region,” told CNN Business’ Emerging Markets Editor John Defterios on the sidelines of the World Economic Forum in Davos in 2019.
 That was more than a year before the market crash of March and April 2020, when Saudi Arabia briefly broke up the OPEC+ pact with Russia. During the past two weeks amid the latest disagreement within OPEC+, Abdulaziz bin Salman was key in the negotiations with the UAE, which wanted its baseline production level revised up. “Consensus building is an art,” Abdulaziz bin Salman said after the deal was announced, declining to say how the consensus was built.",Positive
Houston Scrambles To Remain The Energy Capital Of The US.html,"The United States shale sector is at a crossroads. Houston, the capital of the nation’s oil and gas industry, is at the metaphorical and industrial center of a struggle for the country’s unfolding post-covid energy landscape. The writing is on the wall: the renewable revolution is here to stay, and while the sun hasn’t set on oil yet, the industry will never see growth the way that it has in the past couple of decades. Oil is still highly relevant in Houston, but that is going to change, whether oil tycoons and Texas politicians like it or not.  Even one of the city’s top oil bankers agrees that Houston needs to join the clean energy transition or risk being left behind. “If Houston wants to continue to be the world’s leading energy capital, then it’s going to need to be a leader in the newer forms of energy,” Bobby Tudor, chair of the Houston-based investment bank Tudor, Pickering, Holt & Co, was quoted by the Financial Times in a recent report. He’s not alone in this assertion -- far from it. Tudor’s just one voice in what is becoming an increasingly bipartisan chorus pushing for the United States fossil fuel sector to accept the changing global reality. Earlier this year, President Biden’s Energy Secretary pick Jennifer Granholm essentially issued an “adapt or die” ultimatum to the oil sector. “The bottom line is this particular growth of clean energy and reduction of carbon provides a huge opportunity and I’m extending a hand of partnership,” she said at IHS Markit’s annual CERAWeek conference.  The United States has been seriously dragging its feet when it comes to the global clean energy race. While the country has continued to focus on shale oil and gas, the resource that launched it to the top of the global energy food chain, other countries have been building up robust clean energy infrastructure and setting up assertive policies to develop infrastructure and production capacity that positions them at the forefront of an inevitable sea change in the way we source our energy.  This reticence on the part of the United States has put the country in a, particularly vulnerable position when it comes to the energy independence that the nation has enjoyed for so long, and which is no longer such a sure thing. While the U.S. has been able to dominate shale oil and gas markets thanks to the shale revolution of the past decades, renewables have leveled the playing field, and there is now major competition from China and Europe. The country’s aging infrastructure and practically prehistoric power grids have left the nation poorly situated for adopting cleaner energy practices as well as for ramping up domestic production, not to mention leaving the U.S. energy system vulnerable to security risks and cyberattacks. 
  Related: The 3 Nations Vying For Global LNG Dominance Texas oil, however, will not go easy into that goodnight. Texas lawmakers are bracing for a fight, pulling out all of the policy stops to make decarbonization efforts as difficult in the Lone Star State. “Unfortunately, our economic bedrock of oil and gas is under attack by an administration that is bent on eliminating millions of jobs,” Republican Congressman Brian Babin told the public back in February at a press event along with six other Texan lawmakers, as he spoke in front of the refineries and petrochemical plants of the Houston Ship Channel.  Republican lawmakers have indeed circled the wagons, pushing Senate Bill 13, which would require state entities to divest from any companies that are themselves divesting from fossil fuels. Another bill currently working its way through the Texas docket is House Bill 17, which would bar Texas municipalities from banning natural gas as a fuel source in newly constructed residences, subdivisions, and other developments. 
 But not everyone in the private sector, even those in the oil and gas industry, is in agreement with this ideological petro-protectionism. Those who are following the money can see that the economic future does not lie in oil and gas, no matter what laws are on the books in Texas. “Imagine what it would be like to try to get a big new hydrogen pipeline built between New York City and Boston. It would be impossible. We have a lot of incumbent advantages here,” Tudor told the Financial Times. “One thing Houstonians and Texans, in general, are pretty good at is seeing a commercial opportunity for the grabbing and we do think there are really good commercial opportunities associated with the energy transition.”   And there are already plenty of ventures trying to make Texas the new clean energy hub of the United States. They’re highly outnumbered, but they’re growing, and Houston could soon see itself at the helm of wind, solar, and energy storage in the U.S. if more Texans can get on board with letting go of oil and gas.",Positive
America Looks For A Balance Between Oil Needs And Climate Reality.html,"It’s an eternal dispute - the need to meet consumer energy needs through oil and gas production versus the battle of climate change activists and green policy.  When President Biden came into office in January his stance on green policy was in stark contrast with his predecessor Donald Trump. Biden promises a Green New Deal under which he will pave the way for the banning of oil and gas drilling on public lands, protect a third of America’s land and ocean, introduce a government electric vehicle (EV) fleet, and move away from traditional fuel towards EV for the mail and military. Biden immediately re-joined the Paris Agreement in an effort to show the country and the world that he meant business, thereby leaving America’s oil and gas industry in a state of uncertainty about the future of the country’s black gold.  Earlier this year, Biden imposed a temporary ban on new oil and gas leases on public lands and offshore waters, while the Interior Department carried out a “comprehensive review” of the leasing program. The idea was to reconsider the industry’s impact on the environment and global warming.  This lease ban was overturned by a federal judge in June after 13 states filed a legal challenge in Louisiana to end it. This means many jobs remain safe and production levels can resume, but at what cost to the environment?   Related: The Next Major Wildcard For Oil There’s no getting away from it, America runs on oil. Fuelling the nation, forming a major part of its export economy, and providing thousands of jobs across the country, the ongoing need for the oil industry in the U.S. is evident. 
 And despite the show from Biden to make America green, he continues to invest in the country’s oil industry, knowing that it is still needed to maintain stability until an alternative is viable.  To this end, early in 2021 he approved the new Willow project by ConocoPhillips’ in the National Petroleum Reserve-Alaska (NPR-A), as well as arguing against the shutting down of the Dakota Access pipeline that carries around half-million bpd of oil between South Dakota and Illinois.  In addition, Big Oil holds all the cards thanks to the ongoing lucrative business of fuelling the world. Oil supermajors such as Royal Dutch Shell have long been donating to political lobby groups, including the American Petroleum Institute, to stall and weaken legislation threatening big oil’s position of power in America. ExxonMobil, Chevron, and BP, all make similar contributions to ensure their place in the U.S.  However, with plans to achieve net-zero carbon emissions by 2050, while oil is very much set to stay in the U.S. over the next decade, many companies are looking to modernize, increase their renewable energy portfolios, and cut carbon in line with international expectations. This comes following months of pressure from the government and the International Energy Agency (IEA).  “The signs are unmistakable, the science is undeniable, and the cost of inaction keeps mounting,” Biden stated on Earth Day. “The countries that take decisive actions now will be the ones that reap the clean-energy benefits of the boom that’s coming.”
  Related: Oil Prices Crash After OPEC+ Reaches Deal To Ease Cuts Little is happening to slow production, as companies fight to produce as much as possible before demand wanes later this decade, however companies are looking to improve environmental policies through new technologies such as carbon capture and storage and wastewater recycling for use in other industries. The IEA strongly supports the introduction of CCS programs, believing they add “significant strategic value” in the transition to net-zero. Samantha McCulloch, head of CCUS technology at the IEA, stated “CCUS is a really important part of this portfolio of technologies that we consider.”  So, while the fight against climate change continues and pressure is being put on governments to introduce a green policy that would significantly hinder oil and gas production, the more likely expectation is for oil and gas to stay in place while global demand remains high, changing practices to meet international expectations and new carbon emissions norms. ",Negative
China Buys Less Saudi Crude As It Slams The Brakes On Oil Imports.html,"Saudi Arabia remained China’s single largest crude oil supplier in June, ahead of Russia, although Saudi shipments to the world’s top oil importer fell by 19 percent last month amid lower overall imports, according to official Chinese customs data cited by Reuters. In June 2021, China imported 1.75 million barrels per day (bpd) of Saudi crude oil, China’s General Administration of Customs said on Tuesday. This volume was higher than the 1.62 million bpd crude oil imports from Russia, keeping the Kingdom ahead of Russia as China’s top oil supplier for an eight month running, according to the data quoted by Reuters. The customs data in China showed local refiners didn’t import any crude from either Iran or Venezuela, the two OPEC members under U.S. sanctions that restrict their oil exports.
 Unofficially, however, China continues to import oil from Iran, often disguised as coming from other countries, including from the United Arab Emirates (UAE), according to previous Reuters reports.  China has put the brakes on overall crude oil imports in recent months, due to rising oil prices and a government crackdown on operations of some independent refiners.
 China’s crude oil imports fell to around 9.77 million bpd in June, down by 2 percent on May and the lowest monthly level since the start of the year, customs data cited by Reuters showed last week. Over the first half of the year, China imported 260.66 million tons of crude, or 10.51 million bpd per Reuters estimates. This was a 3 percent drop compared to the first half of 2020. The first-half figure was boosted by increased imports by independent refiners. Since the first quarter, however, Beijing has begun cracking down on the teapots, as production of fuels both at independent refiners and state-owned majors was rising faster than demand, undermining refining margins and creating a glut.  ",Negative
10 Things You Never Knew About Oil.html,"From OPEC to U.S. shale, from fracking to negative oil prices, from endless political debates to inventories, the fossil fuel industry is never short on headlines. But the industry has a few lesser-known tidbits that might come as a surprise to even the savviest oil industry connoisseur.  In no particular order, here is our top 10 list of things you never knew about oil. Number 10 on our list was not inspired by DC Comics, although it’s easy to see why one would think so. Superhero fans might be surprised--and perhaps giddy--to learn that there is a Batman refinery. It gets its name not from the DC comics, but because of its location in Batman, Turkey. Batman in Turkish means “sunken”, and the town was named that because it often floods. If you’re disappointed that the refinery is not really named after the Caped Crusader, you are not alone.  Number 9 If you are an oil industry aficionado, you probably already knew that Venezuela is home to the biggest oil reserves of any country. But did you know that the Latin American country’s 304 billion barrels of oil are enough to supply the entire world with oil for 8.5 years? That’s over 18 quintillion liters of oil and enough to fill up the Baltic Sea more than two times over! Number 8 China might be scouring the rest of the world for oil as its own resources are tricky to get to, but China has been in the oil-search game for more than a millennium. The first known wells ever were drilled in China. In 347 AD, oil wells in China were drilled using bamboo poles. Some of those wells were nearly 800 feet deep!
  Number 7 Your grandparents might remember a time when Standard Oil was… well… the standard. But in 1911, Standard Oil was broken up into many different companies over antitrust issues. It was a fairly big development that changed the oil business in the United States forever. But did you know that many of those companies have since merged among themselves? Almost all of the split-off companies are today part of either Chevron, Exxon, BP, and Marathon.  Number 6 Alright, inventory watchers, wrap your head around this one. According to the Energy Information Administration, each 42-gallon barrel of crude oil actually yields 45 gallons of petroleum products due to something called “processing gain”. The EIA likens this phenomenon to popcorn, which gets bigger when you pop it. Number 5 Oil and gas have thousands of uses other than transportation and energy. There are about 6,000 different products that are made with oil and gas. Raingear, Kevlar, and Velcro are just a few of the things made with oil and gas. But without oil, you also wouldn’t have toilet seats or shower curtains. You also wouldn’t have antihistamines, which would make the world a pretty miserable place. Soap, aspirin, hearing aids, contact lenses, and hair color are just a few more products that rely on oil and gas.  Related: The Next Major Wildcard For Oil
 Number 4  OPEC--it drives world oil prices by restricting supply. It produces nearly 40% of the world’s oil. And whether you refer to them as an oil cartel or merely as a group, or snicker at OPEC’s cautious refusal to talk in terms of oil prices when we know that’s what they’re doing, OPEC undeniably plays a pivotal role in manipulating the oil markets on a global scale. Still, it may be shocking to consider just how much of the world’s oil OPEC members have found. Of the 20 largest oilfields in the history of the world, OPEC members are responsible for 14 of them. Of the world’s top 5 largest oilfields, all are in the hands of OPEC members, from Saudi Arabia to Kuwait, from Iran to Venezuela. The only country that has one of the top 10 oilfields in terms of barrels of oil equivalent that is NOT part of OPEC is Kazakhstan. Number 3 Despite the common measurement in barrels, no one ships oil in physical barrels. Why then, is oil referred to in terms of barrels? And why are there 42 gallons in a barrel instead of a nice round number like 40, or even 50? Measuring oil in terms of barrels comes from the United States. In Pennsylvania in the 1800s, oil was stored in whatever was handy--like jars. But as the industry began to take off, the industry needed something bigger to cart the oil around in for sale. People settled on the barrel merely because, at the time, whisky was stored in barrels. And, well, why reinvent the wheel? The barrel seemed like a perfect fit for the oil industry, too. As for why the seemingly random 42-gallon volume, sellers would base the sale off of 40 gallons and add an extra two gallons in for good measure to compensate for what surely would spill during transit.   Number 2 A fair amount of the oil floating around in the ocean got there honestly, by a natural phenomenon known as oil seeps. No one wants oil companies leaking or spilling oil into the ocean, but according to a 2003 report from the National Research Council, 160,000 tonnes are leaked into North American waters each year through these seeps. The area most susceptible happens to be eco-friendly California, where seeps leak 5 million gallons of oil into the ocean each year. Some slicks caused by these seeps are even visible via satellite and can form miles-long lines of oil. Number 1 The U.S. states of Texas and North Dakota, combined, produce more crude oil than any other country on the planet except the United States, Russia, and Saudi Arabia. If Texas were a country, it would be the world’s 4th largest oil producer, excluding the United States. In 2020, Texas singlehandedly produced an average of 4.869 million bpd--more crude oil than every country except Saudi Arabia, Russia, Canada. China (and of course the United States).",Positive
